,p,m,p_type,m_type,p_start,p_area,p_axis,p_eccentricity,m_start,m_area,m_axis,m_eccentricity,neighbor_m,neighbor_p,p_angle,m_angle,p_angle_index,m_angle_index,center_dist,nearest_dist,flag,time_measure,time_0,ref,image,resolution,bin
0,57,59,1,2,-101,528.0,29.15393170638752,0.6050439273103548,-100,333.0,26.007870515851263,0.7752094396291839,2,6,0.48803171125502165,0.7450288931957036,5,52,28.781289731442477,4.244761251529801,True,18,118,57,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
1,18,59,1,2,-118,655.0,34.27558766757776,0.6992593898586257,-100,333.0,26.007870515851263,0.7752094396291839,3,4,0.722971888386339,0.0812815970120826,52,29,43.92003409518311,15.387797489398201,False,18,118,59,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
2,23,59,1,2,-118,724.0,37.88129617509027,0.7628715512779327,-100,333.0,26.007870515851263,0.7752094396291839,4,3,0.5352906799177555,1.0663658653141654,6,41,26.891361076390883,2.0086712330552974,False,18,118,59,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
3,51,59,1,2,-107,514.0,27.625651001702433,0.5003647943512197,-100,333.0,26.007870515851263,0.7752094396291839,2,7,0.03722288449747779,0.0,29,0,43.163887134673715,16.316145875080807,False,18,118,59,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
4,52,59,1,2,-107,514.0,26.07427557649424,0.2532604465225913,-100,333.0,26.007870515851263,0.7752094396291839,1,7,0.07494014061115761,0.17167998126029183,29,58,46.70465080865878,21.22062196649117,False,18,118,59,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
5,53,59,1,2,-106,474.0,26.738433500829316,0.5258216168954793,-100,333.0,26.007870515851263,0.7752094396291839,2,1,0.6208514461167676,0.26865506119814064,24,3,85.28817675501388,60.02823971683035,False,18,118,59,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
6,57,59,1,2,-101,528.0,29.15393170638752,0.6050439273103548,-100,333.0,26.007870515851263,0.7752094396291839,1,5,0.48803171125502165,0.7450288931957036,5,52,28.781289731442477,4.244761251529801,True,18,118,59,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
0,46,22,1,2,-97,463.0,28.011109201810463,0.6569635818424664,-105,676.0,39.981337560056325,0.8377978174333285,3,4,1.0225703069980288,0.9903011647735296,40,49,69.1774617800016,45.98078832560414,False,18,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
1,46,29,1,2,-97,463.0,28.011109201810463,0.6569635818424664,-105,916.0,46.48527540258048,0.8396021289016674,2,6,0.1915154131870846,0.0012751709207510231,2,30,37.37247598275977,1.7441191408447247,False,18,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
2,46,58,1,2,-97,463.0,28.011109201810463,0.6569635818424664,-87,364.0,23.95011460829072,0.5822394758555162,2,3,1.284372459902836,0.4791664106843654,17,25,23.33018217685631,2.003426465944129,True,18,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
