,p,m,p_type,m_type,p_start,p_area,p_axis,p_eccentricity,m_start,m_area,m_axis,m_eccentricity,neighbor_m,neighbor_p,p_angle,m_angle,p_angle_index,m_angle_index,center_dist,nearest_dist,flag,time_measure,time_0,ref,image,resolution,bin
0,46,22,1,2,-97,442.0,25.881603224382552,0.535847841256209,-105,669.0,39.13658299842252,0.8270743256840717,4,4,1.1635801460543316,0.8792951384411252,18,50,69.30642802866582,45.9379715283234,False,8,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
1,46,29,1,2,-97,442.0,25.881603224382552,0.535847841256209,-105,898.0,45.786994136836825,0.8363094710845022,1,5,1.2573443558092556,0.0005456933456766677,42,30,35.395204924812575,2.697823932029626,False,8,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
0,24,16,1,2,-125,608.0,31.26147535221082,0.6065439118986434,-125,504.0,31.763647410556537,0.7664891161570779,3,2,0.28441400085875107,0.7157219272407431,3,52,43.589648391149254,15.303166101876215,True,0,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
1,24,20,1,2,-125,608.0,31.26147535221082,0.6065439118986434,-125,543.0,31.644018660376183,0.7167862425561341,4,3,0.25044985584477697,1.1151016609848607,57,41,35.91276209446559,10.60670483542638,False,0,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
2,24,23,1,2,-125,608.0,31.26147535221082,0.6065439118986434,-125,567.0,33.75603432898301,0.7647059296985746,2,3,0.7507526168070111,0.14455497615598878,52,32,52.54002133805924,23.0087799806429,False,0,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
3,18,16,1,2,-125,674.0,37.46623102003954,0.7888061578874638,-125,504.0,31.763647410556537,0.7664891161570779,2,2,0.4051753745141602,0.9903270197269984,5,49,23.714494567200706,1.4171555097956678,False,0,125,16,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
4,24,16,1,2,-125,608.0,31.26147535221082,0.6065439118986434,-125,504.0,31.763647410556537,0.7664891161570779,3,3,0.28441400085875107,0.7157219272407431,3,52,43.589648391149254,15.303166101876215,True,0,125,16,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
0,22,14,1,2,-76,720.0,38.85204547833734,0.7900159501582253,-76,940.0,48.03532623758953,0.8531958858677711,1,5,0.23143743955957863,0.2630648297906046,33,3,70.36557464577022,30.62194138072692,False,0,76,22,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
1,22,20,1,2,-76,720.0,38.85204547833734,0.7900159501582253,-76,478.0,28.390246708869864,0.6442281619299605,2,2,0.9136359054111138,1.05781919402094,20,40,22.068521143529335,1.06620388281719,True,0,76,22,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
2,22,24,1,2,-76,720.0,38.85204547833734,0.7900159501582253,-76,630.0,32.89753300069366,0.6640515402735568,2,1,0.735536145832611,0.04408347779370958,8,30,41.82369500185979,11.083107350249536,False,0,76,22,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
3,22,29,1,2,-76,720.0,38.85204547833734,0.7900159501582253,-76,455.0,26.222327734485923,0.5358870889713808,2,2,0.4143699831132013,0.5966569158761722,55,6,50.47518928072568,20.612251021246912,False,0,76,22,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
4,9,20,1,2,-76,714.0,39.26984844915666,0.8012742338050296,-76,478.0,28.390246708869864,0.6442281619299605,3,1,1.190388848282625,0.07024886692656729,42,30,78.87843739627124,52.41468776933498,False,0,76,20,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
5,22,20,1,2,-76,720.0,38.85204547833734,0.7900159501582253,-76,478.0,28.390246708869864,0.6442281619299605,4,3,0.9136359054111138,1.05781919402094,20,40,22.068521143529335,1.06620388281719,True,0,76,20,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
0,24,17,1,2,-118,497.0,27.31277507954022,0.5238354048043463,-118,543.0,31.644018660376183,0.7167862425561341,4,3,1.1492362712064599,0.8029913131608604,18,51,50.7765628209393,25.349319217821073,False,0,118,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003010.tif,0.1944,3.0
1,24,20,1,2,-118,497.0,27.31277507954022,0.5238354048043463,-118,567.0,33.75603432898301,0.7647059296985746,2,4,1.2801154277993814,0.6142695494997756,12,37,51.54498483103286,25.53070424760443,False,0,118,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003010.tif,0.1944,3.0
2,24,29,1,2,-118,497.0,27.31277507954022,0.5238354048043463,-118,728.0,43.70389783657139,0.8706531830560169,1,3,0.9407124929545869,0.8103790250506488,50,20,31.08746367284116,6.050628162092923,False,0,118,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003010.tif,0.1944,3.0
3,24,31,1,2,-118,497.0,27.31277507954022,0.5238354048043463,-118,807.0,41.57754688665026,0.8016036559125497,1,2,0.15452264931295456,1.0750188879041616,58,11,76.20724317135588,49.48552102931403,False,0,118,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003010.tif,0.1944,3.0
0,23,20,1,2,-46,598.0,36.316139967865446,0.8117186372583125,-46,627.0,35.463323902806664,0.7678490351781893,0,4,0.9069987312343918,1.1908101466013878,10,42,24.696797317284595,2.236522580591308,True,0,46,23,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_004004.tif,0.1944,3.0
1,15,20,1,2,-46,682.0,35.31684820419784,0.7130040928858284,-46,627.0,35.463323902806664,0.7678490351781893,1,1,0.6624833973388737,0.6238124445352309,36,23,41.77333330913754,10.981747652072057,False,0,46,20,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_004004.tif,0.1944,3.0
2,18,20,1,2,-46,732.0,41.905558507135936,0.8441174502607709,-46,627.0,35.463323902806664,0.7678490351781893,1,1,0.3258963447401171,0.744607411118952,26,8,42.36142690883189,10.016519860322425,False,0,46,20,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_004004.tif,0.1944,3.0
3,23,20,1,2,-46,598.0,36.316139967865446,0.8117186372583125,-46,627.0,35.463323902806664,0.7678490351781893,1,2,0.9069987312343918,1.1908101466013878,10,42,24.696797317284595,2.236522580591308,True,0,46,20,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_004004.tif,0.1944,3.0
4,24,20,1,2,-46,659.0,34.174198573880425,0.6926893484421309,-46,627.0,35.463323902806664,0.7678490351781893,3,1,1.1392506058061542,0.3614352586679295,41,4,61.51971691056905,31.78715758716744,False,0,46,20,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_004004.tif,0.1944,3.0
0,17,10,1,2,-57,629.0,36.44549340377007,0.7941900077031462,-57,428.0,25.83238834777495,0.5711303572442588,2,1,0.09230033745443655,0.3499801344612199,1,33,39.10258421943302,8.219161737892593,True,0,57,17,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_004005.tif,0.1944,3.0
