,p_id,p_f_type,p_start,p_area,p_axis,p_eccentricity,p_neighbor_same,p_neighbor_diff,m_id,m_f_type,m_start,m_area,m_axis,m_eccentricity,m_neighbor_same,m_neighbor_diff,p_angle,m_angle,p_angle_index,m_angle_index,center_dist,nearest_dist,flag,time_measure,time_0,ref,image,resolution,bin
0,18,1,-118,647.0,34.49757309657442,0.7157255714458326,4,2,58,2,-102,346.0,26.762501124232465,0.7852367099992591,2,6,0.6980197765943279,0.19755369037885684,52,27,43.69465098514337,14.852392092177189,False,37,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
1,23,1,-118,667.0,37.11717375915128,0.7831902559833577,5,3,58,2,-102,346.0,26.762501124232465,0.7852367099992591,2,6,0.43941962314534333,1.2294246783151523,5,42,27.126753337691042,2.004539434701186,False,37,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
2,51,1,-107,529.0,28.30354241930441,0.5280711874162907,7,1,58,2,-102,346.0,26.762501124232465,0.7852367099992591,2,6,0.03936550385617643,0.08878993892736085,29,1,43.540157920267184,15.82494226989222,False,37,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
3,52,1,-107,511.0,26.347686822888477,0.323483830891678,7,0,58,2,-102,346.0,26.762501124232465,0.7852367099992591,2,6,0.538174441302719,0.22358194857950675,35,57,47.086037968716944,21.08026899280527,False,37,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
4,53,1,-106,507.0,27.408420112174856,0.49954579096639695,2,1,58,2,-102,346.0,26.762501124232465,0.7852367099992591,2,6,0.5489758723754674,0.3538928495388232,25,4,87.4891259507896,61.44441314483457,False,37,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
5,59,1,-102,527.0,29.5936481955013,0.639735970655438,4,0,58,2,-102,346.0,26.762501124232465,0.7852367099992591,2,6,0.4058283488230199,0.5099218503102367,34,54,28.962773590573974,4.243614669501758,True,37,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
0,46,1,-97,459.0,28.648328567634017,0.6964248828197426,3,3,22,2,-105,684.0,40.37439451516751,0.8394311020813603,3,4,0.8665383488168512,1.0074466205430754,39,49,68.65548383787169,44.76185151447072,False,24,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
1,46,1,-97,459.0,28.648328567634017,0.6964248828197426,3,3,29,2,-105,917.0,47.15255589273908,0.8488916510641823,3,6,0.0,0.011654627757898606,0,30,37.815849363464444,1.4550422782443584,False,24,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
2,46,1,-97,459.0,28.648328567634017,0.6964248828197426,3,3,57,2,-89,404.0,26.340263325294007,0.665532246010052,2,3,1.2621504432062935,0.4419194066184424,13,25,22.80804270899387,2.350112285203604,True,24,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
3,19,1,-105,703.0,35.378561586270855,0.6943243004780081,5,6,57,2,-89,404.0,26.340263325294007,0.665532246010052,2,3,1.022415401176593,0.7769862484322382,49,8,25.996087301778296,2.124436867547691,False,24,105,57,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
4,24,1,-105,671.0,37.41164088141606,0.7881251071691013,2,4,57,2,-89,404.0,26.340263325294007,0.665532246010052,2,3,0.9841817855121056,0.35807046788830066,19,34,22.417637228146454,2.1220193235625553,False,24,105,57,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
5,46,1,-97,459.0,28.648328567634017,0.6964248828197426,3,3,57,2,-89,404.0,26.340263325294007,0.665532246010052,2,3,1.2621504432062935,0.4419194066184424,13,25,22.80804270899387,2.350112285203604,True,24,105,57,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
0,24,1,-125,619.0,31.79132568512805,0.6215677818846639,3,6,15,2,-125,561.0,35.834699048335025,0.825624599913548,5,2,0.09743602041393522,1.0741448104221476,1,41,56.42298592328585,29.34469738833635,False,44,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
1,24,1,-125,619.0,31.79132568512805,0.6215677818846639,3,6,16,2,-125,544.0,31.634072510665376,0.7173994014013569,4,3,0.2857948637538303,0.737133810652522,3,52,40.61580352186199,12.277876983695148,True,44,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
2,24,1,-125,619.0,31.79132568512805,0.6215677818846639,3,6,20,2,-125,522.0,30.06354767269524,0.6728381960991212,5,3,0.25473952267033706,1.141955719579692,57,41,37.637415995770766,12.046061777489378,False,44,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
3,24,1,-125,619.0,31.79132568512805,0.6215677818846639,3,6,23,2,-125,539.0,34.60794434242774,0.8140813161144941,4,3,0.8752605122214767,0.007632037887790322,51,30,54.38759923232593,24.002720440409938,False,44,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
4,24,1,-125,619.0,31.79132568512805,0.6215677818846639,3,6,43,2,-110,428.0,24.665831451508556,0.43102730891019925,2,3,1.325939697028483,1.1584517823552143,47,11,63.595973418283215,38.55931564876259,False,44,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
5,24,1,-125,619.0,31.79132568512805,0.6215677818846639,3,6,44,2,-110,597.0,32.061287067513696,0.6703995217074943,5,3,1.5514900059650696,0.19068155534969256,45,28,50.89532144013891,22.636679735951848,False,44,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
6,18,1,-125,647.0,36.18669849195138,0.7749085303724208,4,3,16,2,-125,544.0,31.634072510665376,0.7173994014013569,4,3,0.8771027704417368,1.0891894667725177,10,41,25.009757473497462,2.1216998445514093,False,44,125,16,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
7,24,1,-125,619.0,31.79132568512805,0.6215677818846639,3,6,16,2,-125,544.0,31.634072510665376,0.7173994014013569,4,3,0.2857948637538303,0.737133810652522,3,52,40.61580352186199,12.277876983695148,True,44,125,16,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
8,47,1,-82,989.0,70.10862947332784,0.9541354144041135,3,5,16,2,-125,544.0,31.634072510665376,0.7173994014013569,4,3,0.7348027003565756,0.2550283811228651,41,27,21.74973727469668,1.5083388166232083,False,44,125,16,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
0,24,1,-118,496.0,26.52015266691394,0.43527303984011445,2,5,17,2,-118,542.0,31.492673110510683,0.7162652091263019,5,3,1.410451182827013,0.8094740772116591,16,51,50.68508121921036,25.76103217108292,False,37,118,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003010.tif,0.1944,3.0
1,24,1,-118,496.0,26.52015266691394,0.43527303984011445,2,5,20,2,-118,530.0,33.35614630540681,0.7916481079941396,4,4,1.2752369441345623,0.3459754309879193,12,34,51.98365862448493,24.8018694024246,False,37,118,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003010.tif,0.1944,3.0
2,24,1,-118,496.0,26.52015266691394,0.43527303984011445,2,5,29,2,-118,720.0,42.04864792244882,0.8536246929553676,2,5,0.9931357207674738,0.8911082898169198,50,20,31.89272508243228,6.62212131079297,False,37,118,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003010.tif,0.1944,3.0
3,24,1,-118,496.0,26.52015266691394,0.43527303984011445,2,5,31,2,-118,751.0,43.15374944502736,0.8521453928130617,4,4,0.2642582547646404,0.8337170706262209,57,9,73.70580613982807,47.6510425064667,False,37,118,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003010.tif,0.1944,3.0
4,24,1,-118,496.0,26.52015266691394,0.43527303984011445,2,5,42,2,-103,579.0,31.039956126366135,0.6402883901154311,6,3,0.21242534208639674,0.6390816979352913,2,36,29.488820890742563,2.4339270700674573,True,37,118,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003010.tif,0.1944,3.0
