,p_id,p_f_type,p_start,p_area,p_axis,p_eccentricity,p_neighbor_same,p_neighbor_diff,m_id,m_f_type,m_start,m_area,m_axis,m_eccentricity,m_neighbor_same,m_neighbor_diff,p_angle,m_angle,p_angle_index,m_angle_index,center_dist,nearest_dist,flag,time_measure,time_0,ref,image,resolution,bin
0,18,1,-118,640.0,35.1983058778446,0.7504289535249854,4,2,58,2,-102,327.0,21.87577356169112,0.4630730066966468,2,6,0.589976087235029,0.2876743621588074,53,27,38.53734901510895,12.175083058540334,False,16,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
1,23,1,-118,737.0,37.80107266238534,0.7512179852230753,4,4,58,2,-102,327.0,21.87577356169112,0.4630730066966468,2,6,0.6997823304324029,1.336050319897109,8,47,24.940058171922054,0.10481489361211245,False,16,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
2,51,1,-107,503.0,27.291723431396782,0.4970109663636768,7,1,58,2,-102,327.0,21.87577356169112,0.4630730066966468,2,6,0.16376118766863712,0.532678045057202,28,5,49.04471680720217,24.070485755211056,False,16,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
3,52,1,-107,495.0,25.663957478447117,0.2588960010227533,7,1,58,2,-102,327.0,21.87577356169112,0.4630730066966468,2,6,0.25504763940564823,0.08686154243382571,32,59,52.005532368231876,27.735113676705943,False,16,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
4,53,1,-106,481.0,26.611092690600124,0.49072139665347825,1,1,58,2,-102,327.0,21.87577356169112,0.4630730066966468,2,6,0.5130985268721964,0.7277704926714486,25,7,90.14225156749127,65.67141773276529,False,16,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
5,59,1,-102,515.0,28.89035330506011,0.615194647442971,4,0,58,2,-102,327.0,21.87577356169112,0.4630730066966468,2,6,0.5968244687461421,0.48872666111190366,36,55,33.734940462988796,10.24789194504811,True,16,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
0,46,1,-97,478.0,27.13995850515267,0.5602742808023177,3,4,22,2,-105,676.0,39.89330051091165,0.8360092879392326,3,4,0.8845186763451629,0.7918034094957394,38,51,69.6087358874081,45.282204145791205,False,16,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
1,46,1,-97,478.0,27.13995850515267,0.5602742808023177,3,4,29,2,-105,905.0,45.91287040761967,0.8346848738062825,2,6,0.19165257235268524,0.001036060069765643,2,30,36.509491529364766,1.582430216646578,False,16,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
2,46,1,-97,478.0,27.13995850515267,0.5602742808023177,3,4,36,2,-105,546.0,31.638628650803334,0.7022312846661459,1,4,0.7238921869161228,0.31920430175318204,7,32,101.95356570466222,73.85918161027963,False,16,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
3,46,1,-97,478.0,27.13995850515267,0.5602742808023177,3,4,57,2,-89,337.0,22.243760670925308,0.49148174801953926,2,3,0.9635974692669622,0.5090681204178185,20,25,24.067693762477628,1.3817694531524456,True,16,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
4,19,1,-105,640.0,35.1983058778446,0.7504289535249854,4,5,57,2,-89,337.0,22.243760670925308,0.49148174801953926,2,3,0.9783457263638491,0.9662930738197989,49,10,23.636887292284854,2.8285262279238257,False,16,105,57,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
5,24,1,-105,737.0,37.80107266238534,0.7512179852230753,4,5,57,2,-89,337.0,22.243760670925308,0.49148174801953926,2,3,1.3348941812226625,0.9045117428074949,17,39,24.33073539607575,1.7809976161467787,False,16,105,57,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
6,46,1,-97,478.0,27.13995850515267,0.5602742808023177,3,4,57,2,-89,337.0,22.243760670925308,0.49148174801953926,2,3,0.9635974692669622,0.5090681204178185,20,25,24.067693762477628,1.3817694531524456,True,16,105,57,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
0,24,1,-125,608.0,31.261475352210823,0.6065439118986435,3,3,16,2,-125,504.0,31.763647410556537,0.7664891161570779,3,2,0.28441400085875107,0.7157219272407431,3,52,43.589648391149254,15.303166101876215,True,0,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
1,24,1,-125,608.0,31.261475352210823,0.6065439118986435,3,3,20,2,-125,543.0,31.644018660376183,0.7167862425561341,4,3,0.25044985584477697,1.1151016609848607,57,41,35.91276209446559,10.60670483542638,False,0,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
2,24,1,-125,608.0,31.261475352210823,0.6065439118986435,3,3,23,2,-125,567.0,33.75603432898301,0.7647059296985746,2,3,0.7507526168070111,0.14455497615598878,52,32,52.54002133805924,23.0087799806429,False,0,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
3,18,1,-125,674.0,37.46623102003954,0.788806157887464,2,2,16,2,-125,504.0,31.763647410556537,0.7664891161570779,3,2,0.4051753745141602,0.9903270197269984,5,49,23.714494567200706,1.4171555097956678,False,0,125,16,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
4,24,1,-125,608.0,31.261475352210823,0.6065439118986435,3,3,16,2,-125,504.0,31.763647410556537,0.7664891161570779,3,2,0.28441400085875107,0.7157219272407431,3,52,43.589648391149254,15.303166101876215,True,0,125,16,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
0,22,1,-76,720.0,38.852045478337345,0.7900159501582256,3,4,14,2,-76,940.0,48.03532623758953,0.8531958858677712,1,5,0.23143743955957863,0.2630648297906046,33,3,70.36557464577022,30.62194138072692,False,0,76,22,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
