,p_id,p_f_type,p_start,p_area,p_axis,p_eccentricity,p_neighbor_same,p_neighbor_diff,m_id,m_f_type,m_start,m_area,m_axis,m_eccentricity,m_neighbor_same,m_neighbor_diff,p_angle,m_angle,p_angle_index,m_angle_index,center_dist,nearest_dist,flag,time_measure,time_0,ref,image,resolution,bin
0,18,1,-118,640.0,35.1983058778446,0.7504289535249854,4,2,58,2,-102,327.0,21.87577356169112,0.4630730066966468,2,6,0.589976087235029,0.2876743621588074,53,27,38.53734901510895,12.175083058540334,False,16,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
1,23,1,-118,737.0,37.80107266238534,0.7512179852230753,4,4,58,2,-102,327.0,21.87577356169112,0.4630730066966468,2,6,0.6997823304324029,1.336050319897109,8,47,24.940058171922054,0.10481489361211245,False,16,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
2,51,1,-107,503.0,27.291723431396782,0.4970109663636768,7,1,58,2,-102,327.0,21.87577356169112,0.4630730066966468,2,6,0.16376118766863712,0.532678045057202,28,5,49.04471680720217,24.070485755211056,False,16,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
3,52,1,-107,495.0,25.663957478447117,0.2588960010227533,7,1,58,2,-102,327.0,21.87577356169112,0.4630730066966468,2,6,0.25504763940564823,0.08686154243382571,32,59,52.005532368231876,27.735113676705943,False,16,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
4,53,1,-106,481.0,26.611092690600124,0.49072139665347825,1,1,58,2,-102,327.0,21.87577356169112,0.4630730066966468,2,6,0.5130985268721964,0.7277704926714486,25,7,90.14225156749127,65.67141773276529,False,16,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
5,59,1,-102,515.0,28.89035330506011,0.615194647442971,4,0,58,2,-102,327.0,21.87577356169112,0.4630730066966468,2,6,0.5968244687461421,0.48872666111190366,36,55,33.734940462988796,10.24789194504811,True,16,118,58,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003005.tif,0.1944,3.0
0,46,1,-97,442.0,25.881603224382552,0.5358478412562091,5,2,22,2,-105,669.0,39.13658299842251,0.8270743256840717,4,4,1.1635801460543316,0.8792951384411252,18,50,69.30642802866582,45.9379715283234,False,8,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
1,46,1,-97,442.0,25.881603224382552,0.5358478412562091,5,2,29,2,-105,898.0,45.786994136836825,0.8363094710845024,1,5,1.2573443558092556,0.0005456933456766677,42,30,35.395204924812575,2.697823932029626,False,8,105,46,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003006.tif,0.1944,3.0
0,24,1,-125,608.0,31.261475352210823,0.6065439118986435,3,3,16,2,-125,504.0,31.763647410556537,0.7664891161570779,3,2,0.28441400085875107,0.7157219272407431,3,52,43.589648391149254,15.303166101876215,True,0,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
1,24,1,-125,608.0,31.261475352210823,0.6065439118986435,3,3,20,2,-125,543.0,31.644018660376183,0.7167862425561341,4,3,0.25044985584477697,1.1151016609848607,57,41,35.91276209446559,10.60670483542638,False,0,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
2,24,1,-125,608.0,31.261475352210823,0.6065439118986435,3,3,23,2,-125,567.0,33.75603432898301,0.7647059296985746,2,3,0.7507526168070111,0.14455497615598878,52,32,52.54002133805924,23.0087799806429,False,0,125,24,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
3,18,1,-125,674.0,37.46623102003954,0.788806157887464,2,2,16,2,-125,504.0,31.763647410556537,0.7664891161570779,3,2,0.4051753745141602,0.9903270197269984,5,49,23.714494567200706,1.4171555097956678,False,0,125,16,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
4,24,1,-125,608.0,31.261475352210823,0.6065439118986435,3,3,16,2,-125,504.0,31.763647410556537,0.7664891161570779,3,2,0.28441400085875107,0.7157219272407431,3,52,43.589648391149254,15.303166101876215,True,0,125,16,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003007.tif,0.1944,3.0
0,22,1,-76,720.0,38.852045478337345,0.7900159501582256,3,4,14,2,-76,940.0,48.03532623758953,0.8531958858677712,1,5,0.23143743955957863,0.2630648297906046,33,3,70.36557464577022,30.62194138072692,False,0,76,22,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
1,22,1,-76,720.0,38.852045478337345,0.7900159501582256,3,4,20,2,-76,478.0,28.390246708869864,0.6442281619299608,2,2,0.9136359054111138,1.05781919402094,20,40,22.068521143529335,1.06620388281719,True,0,76,22,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
2,22,1,-76,720.0,38.852045478337345,0.7900159501582256,3,4,24,2,-76,630.0,32.89753300069365,0.6640515402735564,2,1,0.735536145832611,0.04408347779370958,8,30,41.82369500185979,11.083107350249536,False,0,76,22,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
3,22,1,-76,720.0,38.852045478337345,0.7900159501582256,3,4,29,2,-76,455.0,26.222327734485923,0.535887088971381,2,2,0.4143699831132013,0.5966569158761722,55,6,50.47518928072568,20.612251021246912,False,0,76,22,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
4,9,1,-76,714.0,39.26984844915666,0.8012742338050296,1,3,20,2,-76,478.0,28.390246708869864,0.6442281619299608,2,2,1.190388848282625,0.07024886692656729,42,30,78.87843739627124,52.41468776933498,False,0,76,20,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
5,22,1,-76,720.0,38.852045478337345,0.7900159501582256,3,4,20,2,-76,478.0,28.390246708869864,0.6442281619299608,2,2,0.9136359054111138,1.05781919402094,20,40,22.068521143529335,1.06620388281719,True,0,76,20,20220802_YAV2104xYAV2105_001_01_R3D_REF_rigid_003008.tif,0.1944,3.0
